196	7	6	6	3	2	4	6	6	5	5	2	1	3	5	5	4	4	1	0	2	4	4	3	3	0	0	1	3	3	
216	15	17	18	12	22	13	16	14	13	13	8	18	16	17	14	14	14	9	19	14	16	13	13	13	8	18	14	16	13	
223	4	5	4	4	4	4	3	4	5	3	3	3	4	3	3	4	3	3	3	3	2	3	4	2	2	2	3	2	2	
235	16	13	11	11	11	12	13	17	13	11	13	10	13	13	17	13	11	13	11	13	13	17	13	11	13	11	13	14	17	
237	11	13	12	11	12	13	13	13	14	12	11	13	13	14	14	14	12	12	14	14	15	14	15	13	12	14	15	15	15	
238	16	12	14	13	12	20	16	16	15	13	12	15	18	18	17	15	14	14	15	19	18	17	15	15	14	16	19	19	18	
263	5	5	4	3	4	6	5	5	5	4	3	4	6	6	6	5	4	4	5	6	6	6	5	5	4	5	7	6	6	
274	7	8	7	5	5	6	6	7	9	7	5	5	7	7	7	9	7	6	5	7	7	8	10	8	6	6	7	7	8	
276	8	6	6	4	3	6	7	8	6	6	4	3	6	7	8	6	6	4	3	6	7	8	6	6	4	3	5	7	8	
278	4	4	3	2	4	5	5	4	4	3	2	4	5	5	4	4	4	2	4	5	5	4	5	4	3	4	5	6	4	
290	6	3	3	3	2	3	3	6	3	3	3	1	2	2	5	3	3	2	1	2	2	5	2	2	2	0	1	1	4	
296	17	15	14	12	13	19	14	18	15	15	14	14	18	16	18	16	16	15	14	18	17	19	17	17	16	15	19	18	20	
307	8	8	8	7	7	8	9	11	9	9	7	6	8	10	11	9	9	8	7	9	10	11	10	10	8	7	9	11	12	
330	8	6	4	5	7	6	7	8	6	4	5	8	7	7	8	6	5	6	8	7	7	9	7	5	6	8	7	8	9	
333	6	5	4	1	0	2	4	6	5	4	1	0	2	4	6	5	4	1	0	2	4	6	5	4	1	0	2	4	6	
338	11	13	11	13	12	12	13	13	14	12	12	12	13	14	13	15	13	13	13	14	15	14	16	14	14	13	15	15	15	
341	5	6	4	5	5	5	5	5	7	4	5	5	6	5	5	7	5	5	5	6	5	5	7	5	5	6	6	6	6	
343	6	8	8	8	8	8	7	7	8	8	8	7	8	7	7	8	8	8	8	8	7	7	8	9	8	8	8	8	7	
361	9	8	7	7	5	8	9	9	9	8	7	5	8	9	10	9	8	7	6	9	10	10	9	8	8	6	9	10	10	
372	1	1	1	1	1	3	3	1	0	0	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
378	5	6	5	6	5	7	7	5	6	6	6	5	7	7	6	7	6	6	5	8	7	6	7	6	7	6	8	8	6	
384	3	4	4	3	2	4	5	3	4	4	3	2	4	5	3	5	4	3	2	4	5	4	5	4	3	2	4	5	4	
415	6	6	6	6	5	5	6	6	7	6	6	5	5	6	6	7	6	6	6	5	6	7	7	6	7	6	5	7	7	
430	5	5	5	5	5	5	6	6	6	5	5	5	5	6	6	6	5	5	5	5	6	6	6	5	5	5	5	6	6	
431	3	5	6	4	5	5	6	5	4	5	4	5	5	5	5	4	6	4	5	5	6	5	4	5	4	5	5	6	5	
442	7	6	8	7	7	8	8	7	7	8	7	8	9	9	8	7	8	8	8	9	9	8	8	9	8	8	9	10	8	
455	1	1	1	1	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
475	5	4	4	2	1	2	3	5	4	4	3	1	3	3	5	4	4	3	1	3	4	5	4	4	3	2	3	4	5	
486	10	10	10	10	11	13	12	12	10	11	11	11	12	14	13	11	11	12	12	13	15	14	12	12	13	13	14	15	14	
499	2	2	2	1	1	2	3	2	2	2	0	0	2	2	2	2	1	0	0	1	2	1	2	1	0	0	1	2	1	
506	4	3	4	2	4	3	4	4	3	4	2	4	3	4	4	3	4	2	4	3	4	4	3	4	2	4	3	4	3	
511	4	3	2	0	0	2	4	4	2	1	0	0	2	3	4	2	1	0	0	2	3	3	1	0	0	0	1	2	3	
515	6	5	2	3	5	5	5	6	5	2	3	5	6	5	7	5	3	3	5	6	5	7	5	3	3	5	6	6	7	
538	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4	4	2	2	2	4	4	4	
596	6	3	3	2	3	3	5	6	3	3	2	3	3	5	6	3	3	2	3	3	5	6	3	3	2	3	3	5	6	
610	3	1	2	1	0	2	2	2	1	1	0	0	1	2	2	0	1	0	0	1	1	1	0	0	0	0	0	1	1	
650	5	6	3	5	3	5	5	5	6	3	5	3	5	5	5	6	3	5	3	5	5	5	6	3	5	3	5	4	5	
661	5	5	6	5	4	5	5	5	6	6	5	4	5	5	5	6	6	5	4	5	5	5	6	6	5	4	5	5	5	
669	2	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	0	1	1	0	2	1	1	0	1	1	0	1	
672	3	2	1	2	1	2	3	3	2	1	2	1	2	3	3	2	1	2	1	2	3	3	2	1	2	1	2	3	3	
716	3	1	1	1	0	1	2	2	1	1	0	0	1	1	2	0	0	0	0	1	1	1	0	0	0	0	0	1	1	
720	5	5	4	3	3	4	5	5	5	4	3	3	4	5	5	5	4	3	3	4	5	5	5	4	3	3	4	5	5	
801	5	2	2	1	4	3	4	4	2	2	1	3	3	3	4	2	2	1	3	3	3	4	2	2	1	3	2	3	4	
829	2	1	1	0	0	1	2	2	1	1	0	0	1	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	
848	6	6	3	4	5	5	5	6	6	4	4	5	5	6	6	6	4	5	5	5	6	6	6	4	5	6	5	6	6	
865	5	4	4	4	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	
922	4	6	3	4	2	4	4	5	6	3	3	2	4	5	4	6	3	3	2	4	4	4	6	3	3	2	4	4	4	
949	2	0	1	0	1	1	1	2	0	0	0	1	1	1	2	0	0	0	1	1	1	2	0	0	0	1	1	1	2	
962	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
964	2	2	3	2	2	4	3	2	3	3	2	2	4	3	2	3	3	2	2	4	3	2	3	3	2	2	4	3	2	
